text,feedback
&quot;a little bit of paranoia could prolong your life...How much do you ever really know about the person sharing your room?&quot; - Law &amp; Order  ,1
@zinziii Aha! Finally figured out how to share the Google Reader shared items you'd never guess I was a developer   http://is.gd/rc5v,0
Can't wait til Friday! ,0
Any Suya?  http://bit.ly/cSjE http://twitpic.com/2yd0k,1
"@joe_engle Ah, yes, very clever.... I think there may actually be some kind of real idea forming here... ",1
Hopefully this afternoon I'll be able to go driving after work. ,1
"@bradiewebbstack sway sway bradie, your so audiooo! i love you ",1
"@birlaasports Come on Arsenal  Bet À_25 on the match, get À_25 cashback if you lose @ http://tinyurl.com/coc9uq",1
@missu oh ok. thanks ,0
"jus woke up, had a massive headache last nite but now its gone ",1
"@petrac It is now  It's Drunknmunky, and the monkey is made of tiny fake jewels... lol it looks really gay but I bought it from ebay.",1
Had a nice session with my team. #Mobile SEO. I was waiting for this session long before. now had it. hope i will implement it soon ,0
At work on a chillin Tuesday....    So looking forward to the weekend.,1
@ajitmoses SNS adyar... booze + pool ,1
@icedcoffee it should be fun with AnimalRights going ,1
@selenagomez Hey How Are You? ,1
Just one day 'till my spring break! ,1
"@Monika29 Yeah-I'm not completely thrilled w/the weather, but I do love the people and area where I live. Tradeoffs ",1
"sitting  with gf on lap, *happy*  ",1
Revising under way...not too bad actually! Can't wait to finish though! ,0
@guavawrite Good to see you. I'll get some bigmouths to follow you if that helps? ,1
Someone somewhere liked Factory Balls 2 http://www.smartestgames.com/gotdhistory.php?id=151 ,0
@JoeMcIntyre it's about time ,1
I don't understand why WESH insist on showing Regis and Kelly instead of NBC Today or WESH 2 News. Lucky Brighthouse has on-demand ,0
@problogger I was born in 1969 ,1
@tim_fletcher #BTB09 sounds good to me ...come and grab me for a chat on the day...great to put faces to tweeps ,1
@dougiemcfly well then hello Mich  i love you xoxo,1
@katiewelch - thinking about it - or maybe just moving within the bldg ,0
Twitter rocks ,0
I'm Relaxing reading messages and finishing a project today. ,1
@StephanErdman Tip - Bet À_25 on a Champions League match and get À_25 cashback if your bet loses  http://tinyurl.com/coc9uq,1
@MoodyMommy HA stay away from the fancy cakes! I think a mojito solves the sweet &amp; wine tooth issue ,1
@mikeyway http://twitpic.com/2xzoe - fat ,1
@JesusTweeter 11:04 PM in this part of the world. I could probably very much impress the four walls of my room ,1
"@TheFraserMills sorry, but i like seeing the sun. will try not to talk about the weather in the future  lol",1
@mamur Never mind.. got Mahreen's latest tweet about Charles.. ,1
@austinhill Not at all  - It's just a time zone issue haha !,1
"@amanda_nan welp, at least i won my office pool  Nova in 2010!",1
"http://twitpic.com/2yd13 - I was trying to look like Taylor Swift, lol... ",1
my first lecture ,1
@juliebean24 I'm going to the game tonight   Will you be good to go in time for the 19th?!,1
@FakeCedric i just wanna make sure ,1
Was gonna get coffee but got distracted using AppZapper ,1
UNSTOPPABLE IS AMAZING. Rascal Flatts are by far the best ,1
